trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
xalancbmk,spp_dev2__pf20_fill90,0.57957,0.9979,0.0232,-0.0207,2.3045,0.0044,0.0042,0.7296,0.02771,0.0042,0.7296,461856,472847,3.079,3660321,562,3659759,21307,15545,5611,443
xalancbmk,spp_dev2__pf40_fill100,0.58177,1.0017,0.0005,0.0404,0.6663,0.0,0.0,,,0.0,,472602,472847,3.1507,2138680,0,2138680,0,0,0,0
xalancbmk,spp_dev2__pf40_fill50,0.5832,1.0042,0.0622,0.1163,0.7216,0.0499,0.0457,0.4668,0.08524,0.0457,0.4668,443433,472847,2.9562,1166941,0,1166941,114127,53280,60359,4965
xalancbmk,spp_dev2__pf40_fill70,0.58257,1.0031,0.0502,0.0747,0.75,0.0278,0.0257,0.5908,0.07521,0.0257,0.5908,449100,472847,2.994,1467336,0,1467336,63790,37687,25767,3065
xalancbmk,spp_dev2__pf40_fill90,0.58173,1.0017,0.0233,0.0303,0.8592,0.01,0.0095,0.7204,0.05201,0.0095,0.7204,461850,472847,3.079,1669108,1,1669107,22014,15858,6000,870
xalancbmk,spp_dev2__pf60_fill100,0.58145,1.0012,0.0004,0.0368,0.3747,0.0,0.0,,,0.0,,472680,472847,3.1512,1622242,0,1622242,0,0,0,0
xalancbmk,spp_dev2__pf60_fill70,0.58252,1.003,0.0498,0.092,0.3963,0.0509,0.0465,0.5918,0.08575,0.0465,0.5918,449295,472847,2.9953,805819,0,805819,63361,37497,25572,3517
xalancbmk,spp_dev2__pf60_fill90,0.58184,1.0018,0.0228,0.0443,0.4329,0.0183,0.0176,0.7233,0.0416,0.0176,0.7233,462087,472847,3.0806,896045,0,896045,21787,15758,5926,684
xalancbmk,spp_dev2__pf80_fill100,0.58159,1.0014,0.0002,0.0311,0.1694,0.0,0.0,,,0.0,,472771,472847,3.1518,1011576,0,1011576,0,0,0,0
xalancbmk,spp_dev2__pf80_fill90,0.58217,1.0024,0.0243,0.0445,0.1775,0.0518,0.0488,0.7219,0.0577,0.0488,0.7219,461368,472847,3.0758,335217,0,335217,22645,16347,6201,1001
xalancbmk,spp_dev2__spp_dev2_fill_threshold_100,0.58177,1.0017,0.0005,0.0404,0.6663,0.0,0.0,,,0.0,,472602,472847,3.1507,2138680,0,2138680,0,0,0,0
xalancbmk,spp_dev2__spp_dev2_fill_threshold_50,0.5832,1.0042,0.0622,0.1163,0.7216,0.0499,0.0457,0.4668,0.08524,0.0457,0.4668,443433,472847,2.9562,1166941,0,1166941,114127,53280,60359,4965
xalancbmk,spp_dev2__spp_dev2_fill_threshold_70,0.58257,1.0031,0.0502,0.0747,0.75,0.0278,0.0257,0.5908,0.07521,0.0257,0.5908,449100,472847,2.994,1467336,0,1467336,63790,37687,25767,3065
