trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
mcf,bingo,0.06837,0.8294,0.0244,-0.0219,6.9255,0.0049,0.0049,0.2558,0.01223,0.0049,0.2558,13928306,14277073,92.8554,174000125,0,174000125,3307761,846143,2461175,10475
mcf,ipcp,0.09334,1.1324,0.0502,0.2444,1.2839,0.0935,0.0934,0.1046,0.00116,0.0934,0.1046,13560808,14277073,90.4054,24141540,0,24141540,21567998,2255168,19311168,2623
mcf,spp_dev2,0.08085,0.9808,-0.0015,-0.0335,0.1083,0.0,0.0,0.0482,0.07071,0.0,0.0482,14298465,14277073,95.3231,2382275,0,2382275,1910,92,1818,7
mcf,streamer,0.08179,0.9922,0.0206,-0.0007,0.1616,0.0948,0.0938,0.1876,0.01031,0.0938,0.1876,13982966,14277073,93.2198,5020644,223,5020421,2510701,470889,2039688,4904
mcf,stride,0.08243,1.0,0.0001,0.0002,0.0007,0.0294,0.0286,0.3035,0.02684,0.0286,0.3035,14274978,14277073,95.1665,92441,0,92441,8723,2647,6076,73
milc,nopref,0.41879,,,,,,,,,,,2726470,,18.1765,0,0,0,0,0,0,0
milc,bingo,0.63337,1.5124,0.3647,0.5632,0.0013,0.7378,0.5693,0.999,0.2284,0.5693,0.999,1732167,2726470,11.5478,2599647,0,2599647,1481569,1480032,1508,438106
milc,ipcp,0.71149,1.6989,0.6697,0.746,0.4448,0.0003,0.0002,0.0002,0.44161,0.0002,0.0002,900616,2726470,6.0041,3820436,0,3820436,3829075,679,3824484,537
milc,spp_dev2,0.65964,1.5751,0.186,0.6549,0.1594,0.117,0.0796,0.8196,0.31917,0.0796,0.8196,2219434,2726470,14.7962,8852733,0,8852733,860302,705102,155200,330546
milc,streamer,0.59014,1.4092,0.3171,0.4305,1.0769,0.1283,0.1102,0.2678,0.14098,0.1102,0.2678,1861943,2726470,12.413,11435483,0,11435483,4707454,1260536,3445998,206870
milc,stride,0.59659,1.4246,0.4298,0.5599,0.0011,0.4046,0.3632,0.9984,0.10227,0.3632,0.9984,1554686,2726470,10.3646,4837180,0,4837180,1759619,1756887,2732,200155
omnetpp,nopref,0.25013,,,,,,,,,,,3291063,,21.9404,0,0,0,0,0,0,0
